elapsed_s,phase,proc_cpu_pct,sys_cpu_pct,ws_mb,heap_mb,disk_read_cum_mb,disk_write_cum_mb,gen0_cum,gen1_cum,gen2_cum,gc_pause_ms_cum,alloc_mb_cum
0.3,startup,4.1,29.8,45.7,2.2,0.1,0.0,0,0,0,0.0,2.2
0.5,design-time-builds,1.1,41.9,48.7,2.5,0.1,0.0,0,0,0,0.0,2.5
0.8,design-time-builds,0.7,31.6,53.6,1.5,0.1,0.0,1,0,0,3.7,2.6
1.1,design-time-builds,2.6,80.1,55.5,1.7,0.1,0.0,1,0,0,3.7,2.8
1.3,design-time-builds,0.7,24.6,55.8,1.7,0.1,0.0,1,0,0,3.7,2.8
1.6,design-time-builds,1.1,52.9,61.6,9.0,1.0,0.0,2,1,0,9.0,11.2
1.9,design-time-builds,2.7,84.9,65.9,8.0,1.4,0.0,3,1,0,16.1,14.0
2.1,design-time-builds,0.7,53.7,66.1,8.1,1.4,0.0,3,1,0,16.1,14.0
2.4,design-time-builds,0.8,26.6,70.7,10.0,1.6,0.0,3,1,0,16.1,15.9
2.7,workspace-assembly,6.5,70.1,90.0,15.2,1.6,0.0,3,1,0,16.1,21.1
2.9,workspace-assembly,5.8,100.0,98.2,18.3,1.6,0.0,3,1,0,16.1,24.2
3.2,compile+read,8.2,83.5,116.4,27.9,1.7,0.0,3,1,0,16.1,33.8
3.5,compile+read,19.4,68.4,142.5,51.6,4.1,0.0,4,2,1,42.2,69.8
3.7,compile+read,9.1,61.0,153.9,56.9,4.4,0.0,4,2,1,42.2,75.1
4.0,compile+read,5.8,63.6,158.3,57.5,4.4,0.0,4,2,1,42.2,75.7
4.3,compile+read,6.1,79.0,161.6,58.4,4.4,0.0,4,2,1,42.2,76.6
4.5,compile+read,6.5,67.4,170.2,46.0,5.0,0.0,5,2,1,61.6,81.9
4.8,compile+read,6.6,51.1,181.2,50.0,5.4,0.0,5,2,1,61.6,85.9
5.1,compile+read,34.2,59.6,222.6,82.4,5.4,0.0,5,2,1,61.6,118.3
5.3,compile+read,44.8,57.0,229.9,70.1,5.4,0.0,7,4,2,162.5,145.9
5.6,compile+read,51.9,89.3,237.0,79.1,5.4,0.0,8,4,2,211.7,177.8
5.9,compile+read,81.9,95.2,274.2,71.0,5.4,0.0,10,5,3,226.5,225.7
6.1,compile+read,10.3,32.4,275.0,79.2,5.4,0.0,10,5,3,226.5,233.9
6.4,extract,50.0,79.7,327.2,165.2,5.4,0.0,10,5,3,226.5,319.8
6.8,extract,79.5,94.6,342.9,187.5,5.4,0.0,11,6,3,289.8,410.1
7.2,extract,73.6,91.0,364.0,195.7,5.4,0.0,12,6,3,323.6,485.7
7.5,extract,54.0,91.1,403.4,160.8,5.4,0.0,13,6,3,349.2,527.4
7.7,extract,33.4,82.8,407.4,189.2,5.4,0.0,13,6,3,349.2,555.7
8.0,extract,28.8,61.8,408.6,222.9,5.4,0.0,13,6,3,349.2,589.4
8.3,extract,20.0,46.3,411.4,236.0,5.4,0.0,13,6,3,349.2,602.4
8.6,extract,12.4,32.7,415.3,242.9,5.4,0.0,13,6,3,349.2,609.4
8.8,extract,12.3,27.7,420.4,248.8,5.4,0.0,13,6,3,349.2,615.2
9.1,extract,12.3,29.4,428.2,254.8,5.4,0.0,13,6,3,349.2,621.2
9.4,extract,12.3,33.1,437.2,175.6,5.4,0.0,15,7,4,363.8,628.6
9.6,extract,15.3,46.9,427.3,165.9,5.4,0.0,15,7,4,365.6,639.3
9.9,extract,13.1,34.4,432.5,182.2,5.4,0.0,15,7,4,365.6,655.6
10.2,extract,12.4,48.2,435.3,200.5,5.4,0.0,15,7,4,365.6,673.9
10.4,extract,8.4,39.7,435.7,217.3,5.4,0.0,15,7,4,365.6,690.6
10.7,extract,10.6,56.3,438.2,231.9,5.4,0.0,15,7,4,365.6,705.2
11.0,extract,12.1,100.0,443.9,243.9,5.4,0.0,15,7,4,365.6,717.2
11.2,tail,7.7,100.0,452.4,249.8,5.4,0.0,15,7,4,365.6,723.0
11.5,tail,5.5,93.8,459.8,250.7,5.4,0.0,15,7,4,365.6,724.0
11.8,save,6.2,61.4,465.7,253.4,5.4,0.0,15,7,4,365.6,726.6
12.0,save,13.9,44.9,482.5,183.6,5.4,0.5,16,8,4,463.9,744.8
12.3,save,6.9,27.2,492.6,239.8,5.4,0.5,16,8,4,463.9,800.8
12.6,save,12.5,54.0,514.0,297.1,5.4,0.5,16,8,4,463.9,858.0
12.8,save,7.1,42.6,536.5,196.3,5.4,28.6,17,8,4,465.4,896.2
13.1,save,6.9,62.9,550.9,224.1,5.4,39.0,17,8,4,465.4,923.9
